Date,GN,SP 500
3/3/2020,"385,6","3023,94"
3/2/2020,"376,5","3130,12"
2/28/2020,375,"3003,37"
2/27/2020,"381,1","3090,23"
2/26/2020,390,"2954,22"
2/25/2020,"384,8","2978,76"
2/24/2020,"387,6","3116,39"
2/21/2020,"401,9","3128,21"
2/20/2020,"408,3","3225,89"
2/19/2020,410,"3337,75"
2/18/2020,400,"3373,23"
2/17/2020,"394,6","3386,15"
2/14/2020,395,"3370,29"
2/13/2020,393,"3380,16"
2/12/2020,390,"3373,94"
2/11/2020,390,"3379,45"
2/10/2020,"376,5","3357,75"
2/7/2020,376,"3352,09"
